"name","isArchived","code","id","created_date","updated_date","created_by_id","is_sample"
"Маркетинг и SEO","false","СЕО","6a80e36e20b692f8c321b41a","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Фото и видео","false","ФОТ","6a80e36e20b692f8c321b41b","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Сисадмин","false","АДМ","6a80e36e20b692f8c321b41c","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Репетитор","false","РЕП","6a80e36e20b692f8c321b41d","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Языки","false","ЯЗК","6a80e36e20b692f8c321b41e","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Музыка","false","МУЗ","6a80e36e20b692f8c321b41f","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Вождение","false","ВОД","6a80e36e20b692f8c321b420","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Ведущий","false","ВЕД","6a80e36e20b692f8c321b421","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Организация мероприятий","false","ОРГ","6a80e36e20b692f8c321b422","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Кейтеринг","false","КЕЙ","6a80e36e20b692f8c321b423","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Фотограф на мероприятие","false","ФОТ0","6a80e36e20b692f8c321b424","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Курьер","false","КУР","6a80e36e20b692f8c321b425","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Доставка продуктов","false","ДОС","6a80e36e20b692f8c321b426","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Няня","false","НЯН","6a80e36e20b692f8c321b427","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Сиделка","false","СИД","6a80e36e20b692f8c321b428","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Зооуслуги","false","ПЕТ","6a80e36e20b692f8c321b429","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Садовник","false","САД","6a80e36e20b692f8c321b42a","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Заготовка дров","false","РУБ","6a80e36e20b692f8c321b42b","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Уборка участка","false","ОЧ","6a80e36e20b692f8c321b42c","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Разное","false","РАЗН","6a80e36e20b692f8c321b42d","2026-08-15T22:08:46.121000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Ремонт квартир","false","РЕМ","6a80e36e20b692f8c321b3fa","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Сантехника","false","САН","6a80e36e20b692f8c321b3fb","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Электрика","false","ЭЛЕ","6a80e36e20b692f8c321b3fc","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Отделочные работы","false","ОТД","6a80e36e20b692f8c321b3fd","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Строительство","false","СТР","6a80e36e20b692f8c321b3fe","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Сборка мебели","false","МЕБ","6a80e36e20b692f8c321b3ff","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Окна и двери","false","ОКН","6a80e36e20b692f8c321b400","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Замки и ключи","false","ЗАМ","6a80e36e20b692f8c321b401","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Клининг","false","КЛИ","6a80e36e20b692f8c321b402","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Ландшафт и участок","false","ЛАН","6a80e36e20b692f8c321b403","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Бытовая техника","false","БТХ","6a80e36e20b692f8c321b404","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Электроника","false","ЭЛК","6a80e36e20b692f8c321b405","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Автосервис","false","АВТ","6a80e36e20b692f8c321b406","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Компьютеры","false","КОМ","6a80e36e20b692f8c321b407","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Телефоны","false","ТЕЛ","6a80e36e20b692f8c321b408","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Ремонт одежды и обуви","false","ПОЧ","6a80e36e20b692f8c321b409","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Парикмахер, визажист","false","КРА","6a80e36e20b692f8c321b40a","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Массаж","false","МАС","6a80e36e20b692f8c321b40b","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.120000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
"Тренер","false","ТРН","6a80e36e20b692f8c321b40c","2026-08-15T22:08:46.120000","2026-08-15T22:08:46.121000","service_ccd1751b-8f1e-4515-b636-dcb801657a49","false"
